Player_Name,Age,Height,Weight,Forward,Goalkeeper,Midfielder,Attaking_Midfielder,Center,Defender,Appearances,Substitute(Appearances),Playtime(Minutes),Goals,Assists,Yellow_Cards,Red_Cards,Set_piece_Goal,Passing_Percentage,AerialsWon,Man_Of_The_Matches,Rating
James Tavernier ,31,0.52,0.563636364,0,0,0,0,0,1,38,0,3357,16,9,6,0,2.2,82.1,1.4,7,7.64
Todd Cantwell ,25,0.42,0.472727273,0,0,1,1,1,0,15,1,1292,6,4,5,0,2.1,88.7,0.2,3,7.54
Tom Lawrence ,29,0.48,0.563636364,1,0,1,1,1,0,4,1,349,2,1,0,0,3.4,86.5,0.8,1,7.33
Ryan Kent ,26,0.32,0.381818182,0,0,1,1,1,0,28,1,2430,3,8,3,0,2.1,89.1,0.2,3,7.31
Malik Tillman ,21,0.62,0.490909091,0,0,1,1,1,0,22,6,1943,10,4,4,0,1.7,78.5,1.4,3,7.29
Borna Barisic ,30,0.6,0.654545455,0,0,0,0,0,1,27,3,2540,1,9,4,0,0.9,85.1,0.9,2,7.29
Fashion Sakala ,26,0.44,0.509090909,1,0,1,1,0,0,22,7,1812,12,7,1,0,3.3,80.5,1.2,5,7.27
Connor Goldson ,30,0.7,0.745454545,0,0,0,0,1,1,25,0,2250,2,2,4,0,1,89.2,2.6,0,7.14
Antonio-Mirko Colak ,29,0.62,0.709090909,1,0,0,0,0,0,18,7,1414,14,1,3,0,3.2,75.4,0.6,1,6.97
Robby McCrorie ,25,0.68,0.509090909,0,1,0,0,0,0,4,0,360,0,0,0,0,0,75.3,0,0,6.96
John Lundstram ,29,0.5,0.545454545,0,0,1,0,1,1,32,5,2807,5,0,7,1,1.5,89.9,1.1,2,6.9
Nicolas Raskin ,22,0.46,0.545454545,0,0,1,0,1,1,11,1,855,0,1,1,0,0.8,88.1,0.7,0,6.81
Alfredo Morelos ,27,0.42,0.636363636,1,0,0,0,0,0,15,17,1600,11,5,6,1,2.6,80.8,0.9,2,6.8
John Souttar ,26,0.6,0.563636364,0,0,0,0,1,1,8,4,759,1,0,1,0,0.3,86.7,3.3,0,6.79
Ben Davies ,27,0.58,0.545454545,0,0,0,0,1,1,25,2,2073,0,1,2,0,0.3,87.5,2.4,0,6.75
Ryan Jack ,31,0.52,0.509090909,0,0,1,0,1,1,19,7,1637,1,2,5,0,0.8,90.5,0.3,0,6.71
Rabbi Matondo ,22,0.38,0.4,1,0,1,1,0,0,9,10,862,0,4,0,0,0.9,75,0.5,1,6.7
Ridvan Yilmaz ,22,0.36,0.363636364,0,0,1,0,0,1,8,1,582,0,2,1,0,0.7,84.6,0.4,0,6.66
Ianis Hagi ,24,0.52,0.509090909,0,0,1,1,1,0,3,5,275,1,0,1,0,0.5,81.3,0.1,0,6.58
James Sands ,22,0.6,0.727272727,0,0,1,0,1,1,10,7,921,0,0,3,0,0.3,88.8,2.3,0,6.48
Leon King ,19,0.38,0.563636364,0,0,0,0,1,1,9,6,820,0,0,3,0,0.1,88,1.3,0,6.46
Glen Kamara ,27,0.5,0.618181818,0,0,1,0,1,0,12,10,1039,1,0,1,0,0.1,89.4,0.6,0,6.46
Kemar Roofe ,30,0.44,0.381818182,1,0,1,1,1,0,0,3,42,1,0,0,0,1.3,66.7,0.3,0,6.46
Adam Devine ,20,0.38,0.563636364,0,0,0,0,0,1,3,3,313,0,0,0,0,0,79.3,0.8,1,6.45
Steven Davis ,38,0.34,0.472727273,0,0,1,0,1,0,3,5,360,1,0,1,0,0.9,90.2,0.5,0,6.43
Scott Arfield ,34,0.44,0.472727273,0,0,1,0,1,0,7,24,1045,5,1,2,0,0.9,79.7,0.1,0,6.42
Allan McGregor ,41,0.54,0.545454545,0,1,0,0,0,0,24,0,2160,0,0,1,0,0,83.8,0.2,0,6.41
Jon McLaughlin ,35,0.7,0.690909091,0,1,0,0,0,0,10,0,900,0,0,0,0,0,81,0.1,0,6.31
Scott Wright ,25,0.38,0.381818182,0,0,1,1,1,0,5,18,625,0,1,1,0,0.5,80.1,0.2,0,6.3
Alex Lowry ,20,0.48,0.563636364,0,0,1,0,0,0,1,4,86,0,0,0,0,0.8,84.7,0.2,0,6.26
Charlie McCann ,21,0.34,0.563636364,0,0,1,0,0,0,1,0,90,0,0,0,0,0,84.3,0,0,6.15
Zak Lovelace ,17,0.38,0.563636364,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,6.12
Bailey Rice ,16,0.38,0.563636364,1,0,0,0,0,0,0,1,2,0,0,0,0,0,100,0,0,6.04
Arron Lyall ,19,0.38,0.563636364,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6.03
Robbie Ure ,19,0.38,0.563636364,1,0,0,0,0,0,0,2,2,0,0,0,0,0,75,0,0,6.02
Ross McCausland ,20,0.38,0.563636364,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,5.87
Jota ,24,0.38,0.290909091,0,0,1,1,0,0,26,7,2193,11,11,1,0,2.4,79.5,0.2,5,7.48
Carl Starfelt ,28,0.58,0.709090909,0,0,0,0,1,1,26,2,2393,3,1,3,0,0.8,91.5,4.6,2,7.21
Matt O'Riley ,22,0.38,0.563636364,0,0,1,0,1,0,32,6,2528,3,12,3,0,1.8,83.8,0.6,3,7.19
Josip Juranovic ,27,0.34,0.436363636,0,0,1,0,0,1,9,1,871,1,1,0,0,0.9,85.5,0.3,0,7.18
Greg Taylor ,25,0.38,0.327272727,0,0,1,0,0,1,28,3,2428,3,4,3,0,0.7,84.8,1.8,4,7.15
Alistair Johnston ,24,0.48,0.6,0,0,1,0,1,1,14,0,1234,1,1,1,0,0.5,86.4,1.4,0,7.13
Reo Hatate ,25,0.3,0.472727273,0,0,1,0,1,1,29,3,2239,6,8,0,0,1.8,82.5,0.7,4,7.13
Callum McGregor ,30,0.44,0.418181818,0,0,1,0,1,0,31,0,2762,4,1,3,1,1,92.1,0.4,2,7.1
Cameron Carter-Vickers ,25,0.54,0.872727273,0,0,0,0,1,1,29,0,2610,0,0,5,0,0.5,91.6,3.8,0,7.1
Kyogo Furuhashi ,28,0.28,0.345454545,1,0,0,0,0,0,31,5,2325,27,2,3,0,2.4,67.6,0.1,1,7.06
Moritz Jenz ,24,0.68,0.527272727,0,0,0,0,1,1,10,1,847,2,0,4,0,0.5,90.7,2.4,0,6.92
Anthony Ralston ,24,0.44,0.472727273,0,0,0,0,0,1,14,2,1260,0,1,2,0,0.7,86.5,2,0,6.89
Stephen Welsh ,23,0.38,0.563636364,0,0,0,0,1,1,4,0,360,1,0,2,0,0.5,91.2,3.8,0,6.88
Aaron Mooy ,32,0.38,0.545454545,0,0,1,0,1,0,13,16,1263,4,10,2,0,0.7,85.4,0.4,2,6.8
Liel Abada ,21,0.38,0.563636364,0,0,1,1,0,0,13,21,1461,10,5,2,0,1.6,81.6,0.1,3,6.75
James Forrest ,31,0.28,0.418181818,0,0,1,0,0,0,5,11,551,4,2,0,0,1.3,84.6,0.1,1,6.75
Yuki Kobayashi ,22,0.58,0.563636364,0,0,0,0,1,1,5,0,450,0,0,0,0,0.2,89.7,2.6,0,6.71
Sead Haksabanovic ,24,0.34,0.545454545,0,0,1,1,1,0,8,18,838,5,2,1,0,1,86.9,0.2,2,6.7
Alexandro Bernabei ,22,0.26,0.418181818,0,0,0,0,0,1,9,6,866,1,3,2,0,0.7,81.7,1.5,1,6.7
Daizen Maeda ,25,0.34,0.418181818,1,0,1,1,0,0,25,10,1917,8,5,2,1,1.1,78.7,0.3,0,6.7
Giorgos Giakoumakis ,28,0.58,0.727272727,1,0,0,0,0,0,4,15,686,6,1,2,0,2.3,75.2,1.1,0,6.67
David Turnbull ,23,0.58,0.563636364,0,0,1,1,1,0,6,22,873,4,6,1,1,1.1,88.5,0.4,0,6.65
Oh Hyeon-Gyu ,22,0.54,0.509090909,1,0,0,0,0,0,3,13,505,6,0,2,0,1.9,74.3,0.6,0,6.59
Joe Hart ,36,0.8,0.854545455,0,1,0,0,0,0,37,0,3330,0,0,0,0,0,89.7,0.2,0,6.56
Tomoki Iwata ,26,0.44,0.6,0,0,1,0,0,0,6,7,597,0,1,0,0,0.4,91.1,0.5,0,6.46
Oliver Abildgaard ,27,0.72,0.4,0,0,1,0,1,1,0,6,69,0,0,0,0,0.3,72.9,2,0,6.32
Ben Summers ,19,0.38,0.563636364,0,0,1,0,0,0,0,2,13,0,0,0,0,0,100,0,0,6.32
Rocco Vata ,18,0.38,0.563636364,0,0,1,0,0,0,0,4,39,0,0,0,0,0.3,88.9,0,0,6.2
Scott Bain ,31,0.54,0.472727273,0,1,0,0,0,0,1,0,90,0,0,0,0,0,91.7,1,0,6.19
James McCarthy ,32,0.48,0.509090909,0,0,1,0,1,0,0,2,22,0,0,0,0,0,78.6,0,0,6.15
Randal Kolo Muani ,24,0.62,0.6,1,0,1,1,0,0,31,1,2648,15,11,4,1,2.4,67,1.9,10,7.29
Diant Ramaj ,21,0.66,0.672727273,0,1,0,0,0,0,1,0,90,0,0,0,0,0,77.8,1,0,6.94
Aurelio Buta ,26,0.32,0.4,0,0,1,0,0,1,15,3,1325,3,2,3,0,0.5,77.9,1.2,0,6.81
Daichi Kamada ,26,0.56,0.581818182,1,0,1,1,1,0,25,7,2271,9,6,3,0,1.4,83.3,0.6,2,6.8
Hrvoje Smolcic ,22,0.54,0.654545455,0,0,0,0,1,1,4,5,467,0,0,0,0,0.3,80.7,3,1,6.73
Tuta ,23,0.58,0.672727273,0,0,0,0,1,1,30,1,2717,2,1,8,0,0.5,80.4,1.6,1,6.72
Eric Ebimbe ,22,0.54,0.4,0,0,1,0,1,0,10,9,1061,3,1,4,0,1.4,72.7,1.2,1,6.71
Luca Pellegrini ,24,0.44,0.509090909,0,0,1,0,0,1,7,2,559,0,0,1,0,1.6,72.7,0.6,0,6.71
Philipp Max ,29,0.42,0.6,0,0,1,0,0,1,8,2,698,0,1,1,0,0.9,80.5,0.5,0,6.68
Evan Ndicka ,23,0.72,0.690909091,0,0,0,0,1,1,30,0,2693,1,0,4,0,0.6,86.4,2.6,1,6.67
Jesper Lindstrom ,23,0.52,0.4,1,0,1,1,1,0,22,5,1696,7,2,2,0,1.7,67.9,0.2,2,6.66
Christopher Lenz ,28,0.5,0.672727273,0,0,1,0,0,1,13,11,1286,0,2,1,0,0.5,82.5,0.6,0,6.66
Mario Gotze ,31,0.4,0.563636364,1,0,1,0,1,0,32,0,2749,3,1,6,0,0.8,78.2,0.1,0,6.65
Djibril Sow ,26,0.54,0.581818182,0,0,1,0,1,0,30,2,2648,4,0,9,0,0.9,85.7,0.8,0,6.61
Almamy Toure ,27,0.54,0.672727273,0,0,1,0,1,1,5,2,400,0,1,1,0,0.4,82.2,2,0,6.57
Sebastian Rode ,32,0.48,0.490909091,0,0,1,0,1,1,19,8,1426,4,1,6,0,0.3,84.1,0.5,0,6.52
Ansgar Knauff ,21,0.48,0.527272727,0,0,1,0,0,0,14,10,1289,1,1,2,0,0.6,66.7,0.4,0,6.51
Kristijan Jakic ,26,0.5,0.563636364,0,0,1,0,1,1,17,7,1460,1,0,4,0,0.3,79.3,1.2,0,6.51
Kevin Trapp ,32,0.66,0.8,0,1,0,0,0,0,33,0,2970,0,0,3,0,0,65,0.2,0,6.44
Makoto Hasebe ,39,0.48,0.509090909,0,0,1,0,1,1,15,3,1309,0,0,1,0,0,88,0.8,0,6.39
Rafael Borre ,27,0.36,0.472727273,1,0,1,1,1,0,10,22,1062,2,2,5,0,0.8,73,0.8,0,6.29
Paxten Aaronson ,19,0.38,0.345454545,0,0,1,1,1,0,0,7,167,0,0,1,0,0.6,77.4,0.1,0,6.27
Lucas Alario ,30,0.56,0.618181818,1,0,0,0,0,0,2,18,317,1,0,0,0,0.6,65.9,1.1,0,6.19
Faride Alidou ,21,0.6,0.727272727,0,0,1,1,0,0,0,15,173,0,1,0,0,0.1,76.6,0.1,0,6.12
Timothy Chandler ,33,0.62,0.727272727,0,0,1,0,0,1,0,6,84,0,0,0,0,0,60,0.2,0,6.02
Dario Gebuhr ,20,0.64,0.763636364,0,0,0,0,0,1,0,1,20,0,0,0,0,0,83.3,0,0,5.98
Marcel Wenig ,19,0.62,0.636363636,0,0,1,0,0,0,0,1,3,0,0,0,0,0,90,0,0,5.98
Filip Kostic ,30,0.56,0.672727273,1,0,1,0,0,0,1,0,74,0,0,1,0,1,69.2,0,0,5.93
Loic Bade ,23,0.7,0.818181818,0,0,0,0,1,1,16,3,1448,1,0,4,0,0.2,87.5,1.8,3,6.92
Marcos Acuna ,31,0.32,0.454545455,0,0,1,0,1,1,21,9,1917,3,2,9,3,0.7,80.6,1,1,6.78
Pape Gueye ,24,0.66,0.636363636,0,0,1,0,1,1,15,1,1177,1,3,2,3,1.3,83.7,1.2,2,6.77
Lucas Ocampos ,28,0.62,0.727272727,1,0,1,0,1,0,11,8,1163,4,0,7,0,1.6,77.1,1.6,2,6.71
Nemanja Gudelj ,31,0.62,0.636363636,0,0,1,0,1,1,31,3,2779,3,1,8,0,1.1,90.5,1.4,2,6.67
Suso ,29,0.42,0.472727273,1,0,1,1,1,0,10,15,1063,2,4,1,0,1,87.4,0.1,1,6.67
Marko Dmitrovic ,31,0.76,0.854545455,0,1,0,0,0,0,13,2,1268,0,0,2,0,0,49.5,0.3,0,6.66
Fernando ,35,0.54,0.581818182,0,0,1,0,1,1,19,3,1581,0,1,3,1,0.3,88.7,0.9,0,6.57
Isco ,31,0.4,0.636363636,1,0,1,0,1,0,10,2,803,0,2,5,0,0.3,86.8,0.4,0,6.57
Youssef En-Nesyri ,26,0.64,0.527272727,1,0,0,0,0,0,17,14,1660,8,1,4,0,1.9,65.7,1.9,0,6.55
Oliver Torres ,28,0.44,0.472727273,0,0,1,0,1,0,27,5,2149,3,1,2,0,0.7,81.6,0.2,2,6.55
Ivan Rakitic ,35,0.56,0.618181818,0,0,1,0,1,0,21,10,1791,1,3,3,1,1,83.6,0.6,1,6.54
Marcao ,27,0.58,0.654545455,0,0,0,0,1,1,4,1,374,0,0,2,0,0,87,1.6,0,6.53
Erik Lamela ,31,0.5,0.636363636,1,0,1,1,1,0,20,12,1847,6,0,8,1,1.5,79.8,0.5,0,6.53
Bryan Gil ,22,0.38,0.290909091,0,0,1,1,1,0,10,7,921,2,2,4,0,1,82.2,0.2,0,6.53
Alex Telles ,30,0.5,0.490909091,0,0,1,0,1,1,15,12,1428,0,2,6,0,0.4,81.1,1,0,6.52
Manu Bueno ,18,0.44,0.563636364,0,0,1,0,0,0,2,0,150,0,0,0,0,0.5,78.8,0.5,0,6.52
Jesus Navas ,37,0.32,0.290909091,0,0,1,0,0,1,21,11,1980,0,0,5,0,0.3,81.2,0.5,0,6.46
Karim Rekik ,28,0.6,0.727272727,0,0,0,0,1,1,15,1,1185,1,1,2,0,0.5,92,1.4,0,6.44
Jesus Corona ,30,0.34,0.272727273,1,0,1,0,1,1,1,3,110,1,0,0,0,0.3,84.2,0,0,6.44
Papu Gomez ,35,0.22,0.436363636,1,0,1,0,1,0,11,8,1063,1,1,4,0,1.2,88.6,0.2,0,6.42
Yassine Bounou ,32,0.78,0.618181818,0,1,0,0,0,0,26,0,2154,0,0,2,0,0,73.3,0.2,1,6.42
Rafa Mir ,26,0.7,0.763636364,1,0,0,0,0,0,16,10,1300,6,0,1,0,1.9,69.3,1.4,1,6.39
Tanguy Nianzou ,21,0.62,0.709090909,0,0,0,0,1,1,16,3,1370,1,0,1,1,0.3,88,1.7,0,6.38
Gonzalo Montiel ,26,0.38,0.436363636,0,0,1,0,1,1,17,11,1522,0,3,8,1,0.3,80.8,0.5,0,6.35
Joan Jordan ,28,0.56,0.545454545,0,0,1,0,1,0,19,4,1595,0,1,8,0,0.6,88.5,0.5,0,6.35
Jose Angel Carmona ,21,0.54,0.563636364,0,0,1,0,1,1,5,5,529,2,1,4,1,0.5,84.4,0.3,1,6.35
Kike Salas ,21,0.38,0.563636364,0,0,0,0,1,1,4,2,370,1,1,1,1,0.5,84.3,1.5,1,6.34
Adnan Januzaj ,28,0.6,0.581818182,0,0,1,1,1,0,1,1,47,0,0,0,0,0,68.2,0,0,6.34
Kasper Dolberg ,25,0.6,0.690909091,1,0,0,0,0,0,2,2,198,0,1,0,0,0.5,70.4,0.8,0,6.32
Thomas Delaney ,31,0.52,0.636363636,0,0,1,0,1,1,2,6,307,0,0,3,0,0.4,87.3,1.1,0,6.2
Pedro Ortiz ,22,0.56,0.563636364,0,0,1,0,1,1,0,1,1,0,0,0,0,0,100,0,0,6
Ivan Romero ,22,0.32,0.563636364,1,0,0,0,0,0,0,1,10,0,0,1,0,0,33.3,1,0,5.92
Carlos Alvarez ,19,0.14,0.563636364,0,0,1,0,0,0,0,1,9,0,0,1,0,0,100,0,0,5.89
Diego Hormigo ,20,0.52,0.563636364,0,0,0,0,0,1,1,0,46,0,0,1,0,0,60,1,0,5.84
Antony ,23,0.36,0.345454545,0,0,1,1,0,0,2,0,180,1,2,0,0,4.5,78.3,0.5,1,8.57
Dusan Tadic ,34,0.5,0.581818182,1,0,1,1,1,0,34,0,2971,11,18,3,0,1.4,76.5,0.4,8,7.75
Edson Alvarez ,25,0.62,0.527272727,0,0,1,0,1,1,30,1,2589,3,3,10,0,2,88.9,3.1,2,7.34
Steven Berghuis ,31,0.52,0.563636364,1,0,1,1,1,0,25,4,2105,9,9,5,0,2.6,83.5,0.5,5,7.34
Steven Bergwijn ,25,0.38,0.618181818,1,0,1,1,1,0,28,4,2352,12,5,0,0,2.7,88.7,0.2,3,7.31
Mohammed Kudus ,22,0.42,0.472727273,1,0,1,0,1,0,19,11,1796,11,3,1,0,2.3,87.6,0.3,3,7.29
Kenneth Taylor ,21,0.52,0.563636364,0,0,1,0,1,1,29,3,2505,8,3,4,0,1.5,88.4,0.6,1,6.99
Daley Blind ,33,0.48,0.509090909,0,0,1,0,1,1,11,2,945,0,2,1,0,0.7,88.7,1.2,0,6.98
Jorge Sanchez ,25,0.28,0.454545455,0,0,0,0,0,1,11,6,1110,2,3,3,0,0.9,84.5,0.6,1,6.92
Jurrien Timber ,22,0.46,0.636363636,0,0,0,0,1,1,34,0,3033,2,2,3,0,0.9,91.7,1.3,0,6.89
Geronimo Rulli ,31,0.66,0.727272727,0,1,0,0,0,0,19,0,1710,0,0,1,0,0,84.4,0.6,2,6.85
Brian Brobbey ,21,0.48,0.618181818,1,0,0,0,0,0,17,15,1651,13,3,1,0,2,76.3,1.1,1,6.85
Calvin Bassey ,23,0.58,0.581818182,0,0,0,0,1,1,20,5,1801,1,3,0,0,0.3,89,1.4,0,6.83
Devyne Rensch ,20,0.46,0.563636364,0,0,0,0,0,1,26,0,2042,3,1,2,1,0.5,87.4,0.8,0,6.79
Davy Klaassen ,30,0.46,0.472727273,0,0,1,0,1,0,21,12,2049,8,3,3,0,1.2,83.6,0.5,0,6.75
Owen Wijndal ,23,0.4,0.381818182,0,0,0,0,0,1,15,5,1343,0,2,2,0,0.4,88.6,0.6,0,6.59
Jorrel Hato ,17,0.38,0.563636364,0,0,0,0,0,1,6,5,608,0,0,1,0,0.1,91.1,0.8,0,6.56
Florian Grillitsch ,27,0.62,0.6,0,0,1,0,1,1,4,6,421,0,0,2,0,0.1,90.7,0.7,0,6.48
Remko Pasveer ,39,0.64,0.8,0,1,0,0,0,0,15,0,1350,0,0,0,0,0,77,0.1,0,6.47
Youri Baas ,20,0.52,0.490909091,0,0,0,0,0,1,2,4,186,0,0,0,0,0.3,85.2,0.2,0,6.42
Silvano Vos ,18,0.38,0.563636364,0,0,1,0,0,0,0,2,19,0,0,0,0,1,100,0,0,6.34
Lorenzo Lucca ,22,0.9,0.654545455,1,0,0,0,0,0,0,14,138,2,1,1,0,1.1,46.9,1.6,0,6.3
Francisco Conceicao ,20,0.28,0.363636364,0,0,1,1,0,0,4,15,514,0,3,3,0,1,81.2,0.2,0,6.3
Perr Schuurs ,23,0.7,0.654545455,0,0,0,0,1,1,1,1,52,0,0,0,0,0,89.4,1,0,6.22
Mika Godts ,18,0.4,0.563636364,1,0,0,0,0,0,0,3,13,0,1,0,0,0.3,86.7,0,0,6.21
Lucas Ocampos ,28,0.62,0.727272727,1,0,1,0,1,0,1,3,99,0,0,0,0,1.3,89.2,0.3,0,6.16
Lisandro Magallan ,29,0.58,0.636363636,0,0,0,0,1,1,0,2,20,0,0,0,0,0.5,72.7,0.5,0,6.15
Youri Regeer ,19,0.42,0.563636364,0,0,1,0,0,0,0,3,9,0,0,0,0,0,92.3,0,0,6.1
Kian Fitz-Jim ,19,0.38,0.563636364,0,0,1,0,0,0,0,2,15,0,0,0,0,1,94.7,0,0,6.1
Christian Rasmussen ,20,0.56,0.563636364,1,0,0,0,0,0,0,2,2,0,0,0,0,0.5,100,0,0,6
Adrien Rabiot ,28,0.64,0.509090909,0,0,1,0,1,1,31,1,2751,8,4,9,0,1.5,83.6,1.6,3,7.11
Danilo ,31,0.56,0.618181818,0,0,1,0,1,1,35,2,3182,3,3,5,0,0.9,85.1,1.4,2,7.04
Bremer ,26,0.64,0.654545455,0,0,0,0,1,1,30,0,2640,4,1,6,0,1.1,90.2,2.6,3,6.92
Juan Cuadrado ,35,0.46,0.509090909,1,0,1,0,1,1,24,7,2090,1,3,6,1,1,87,0.4,2,6.89
Manuel Locatelli ,25,0.58,0.563636364,0,0,1,0,1,0,29,3,2460,0,2,8,0,0.9,82.7,1.1,1,6.88
Mattia Perin ,30,0.64,0.745454545,0,1,0,0,0,0,10,1,947,0,0,0,0,0,71.3,0.2,1,6.85
Angel Di Maria ,35,0.48,0.563636364,1,0,1,0,1,0,15,11,1364,4,4,1,1,1.5,78.7,0,0,6.83
Filip Kostic ,30,0.56,0.672727273,1,0,1,0,0,0,33,4,2582,3,8,3,0,1,78.1,0.4,2,6.78
Wojciech Szczesny ,33,0.78,0.836363636,0,1,0,0,0,0,28,0,2473,0,0,0,0,0,75.7,0.4,0,6.77
Dusan Vlahovic ,23,0.68,0.8,1,0,0,0,0,0,22,5,1932,10,2,1,0,2.5,72.1,1.3,3,6.75
Federico Gatti ,25,0.68,0.563636364,0,0,0,0,1,1,16,2,1446,0,0,4,0,0.7,85.2,1.8,1,6.73
Alex Sandro ,32,0.48,0.654545455,0,0,1,0,1,1,21,4,1789,0,1,5,1,0.2,87.5,1.6,0,6.7
Arkadiusz Milik ,29,0.6,0.654545455,1,0,1,1,1,0,17,10,1583,7,1,1,1,1.6,78.6,1.3,1,6.69
Daniele Rugani ,28,0.68,0.727272727,0,0,0,0,1,1,6,3,563,0,0,0,0,0.4,88.2,1.2,0,6.69
Denis Zakaria ,26,0.66,0.672727273,0,0,1,0,1,1,1,1,122,0,0,0,0,0,94.1,0,0,6.65
Federico Chiesa ,25,0.38,0.472727273,1,0,1,0,1,0,6,15,843,2,5,2,0,1.2,78.5,0,1,6.59
Weston McKennie ,24,0.54,0.727272727,0,0,1,0,1,1,13,2,1060,1,1,0,0,0.5,81.7,0.8,0,6.59
Nicolo Fagioli ,22,0.44,0.490909091,0,0,1,0,1,0,17,9,1523,3,3,3,0,0.5,85.5,0,0,6.53
Matias Soule ,20,0.52,0.563636364,0,0,1,0,0,0,4,9,415,1,0,0,0,0.8,83.7,0.2,0,6.5
Leonardo Bonucci ,36,0.68,0.745454545,0,0,0,0,1,1,10,7,878,1,0,2,0,0.3,87.7,1.2,0,6.5
Enzo Barrenechea ,22,0.6,0.672727273,0,0,1,0,0,0,3,0,161,0,0,0,0,0.7,85.1,0.7,0,6.47
Paul Pogba ,30,0.7,0.727272727,0,0,1,0,1,0,1,5,108,0,0,0,0,0.8,73.8,1.2,0,6.42
Leandro Paredes ,29,0.52,0.563636364,0,0,1,0,1,1,8,17,969,1,0,7,1,0.6,91.4,0.2,1,6.41
Mattia De Sciglio ,30,0.52,0.618181818,0,0,1,0,1,1,11,6,1046,0,0,0,0,0.2,81.6,0.6,0,6.4
Fabio Miretti ,19,0.46,0.563636364,0,0,1,1,1,0,14,13,1233,0,2,2,0,0.7,73.5,0.4,0,6.39
Samuel Iling-Junior ,19,0.52,0.563636364,1,0,0,0,0,0,1,11,308,1,1,1,0,0.3,84.5,0.1,0,6.36
Moise Kean ,23,0.54,0.418181818,1,0,1,1,0,0,11,17,990,6,0,5,1,1.4,71.5,0.3,1,6.33
Nicolo Rovella ,21,0.46,0.4,0,0,1,0,1,1,0,3,23,0,0,1,0,0.7,100,0,0,6.15
Tommaso Barbieri ,20,0.5,0.272727273,0,0,0,0,0,1,2,1,110,0,0,0,0,0,81.4,0,0,6.07
Yaroslav Rakitskyi ,33,0.58,0.745454545,0,0,0,0,1,1,1,0,90,1,0,0,0,1,82.5,2,1,7.37
Anatolii Trubin ,21,0.86,0.8,0,1,0,0,0,0,4,0,391,0,0,0,0,0,76,0,1,6.85
Lucas Taylor ,28,0.42,0.472727273,0,0,0,0,0,1,1,0,90,0,0,0,0,0,83.3,0,0,6.74
Mykola Matvienko ,27,0.52,0.545454545,0,0,0,0,1,1,4,0,391,0,1,1,0,0,90.1,1.3,0,6.62
Kevin Kelsy ,18,0.64,0.745454545,1,0,0,0,0,0,0,3,73,1,0,0,0,0.3,83.3,2.3,0,6.58
Taras Stepanenko ,33,0.5,0.581818182,0,0,1,0,1,1,4,0,334,0,0,1,0,1,77.6,2,0,6.57
Heorhii Sudakov ,20,0.42,0.436363636,0,0,1,0,1,0,4,0,391,0,1,1,0,0.8,91.2,0,0,6.57
Oleksandr Zubkov ,26,0.52,0.618181818,0,0,1,1,0,0,4,0,342,0,0,1,0,2.3,73.8,0.8,0,6.55
Artem Bondarenko ,22,0.52,0.527272727,0,0,1,0,1,0,4,0,355,1,0,1,0,0.5,89,1,0,6.49
Dmytro Kryskiv ,22,0.38,0.563636364,0,0,1,0,0,0,3,0,184,1,0,0,0,0.7,92.5,0.3,0,6.42
Yukhym Konoplya ,23,0.48,0.563636364,0,0,0,0,0,1,3,0,301,0,0,1,0,1.3,74,1,0,6.35
Neven Djurasek ,24,0.34,0.563636364,0,0,1,0,0,0,0,3,114,0,0,0,0,0.7,94,0,0,6.31
Bohdan Mykhailichenko ,26,0.46,0.527272727,0,0,0,0,0,1,3,0,301,0,0,2,0,0.3,83.6,0.3,0,6.22
Ehor Nazaryna ,25,0.54,0.454545455,0,0,1,0,0,0,0,3,58,0,0,0,0,0.3,81,0.3,0,6.21
Dmytro Topalov ,25,0.38,0.563636364,1,0,0,0,0,0,2,0,170,0,0,0,0,0,81.6,0,0,6.19
Marian Shved ,25,0.3,0.345454545,0,0,1,1,0,0,0,1,13,0,0,0,0,0,100,1,0,6.14
Lassina Traore ,22,0.54,0.563636364,1,0,0,0,0,0,4,0,272,0,0,1,0,0.5,79.2,0.8,0,6.08
Valeriy Bondar ,24,0.32,0.563636364,0,0,0,0,1,1,3,0,301,0,0,1,0,0,94.8,2,0,6.03
Ivan Petryak ,29,0.3,0.345454545,0,0,1,0,0,0,0,3,42,0,0,0,0,0,88.9,0.7,0,6
Danylo Sikan ,22,0.44,0.563636364,1,0,0,0,0,0,0,3,91,0,0,0,0,0.3,55.6,1,0,5.79
Antoine Griezmann ,32,0.4,0.527272727,1,0,1,1,1,0,31,7,2863,15,16,2,0,2.9,82.4,0.7,13,7.69
Jose Gimenez ,28,0.58,0.6,0,0,0,0,1,1,26,2,2421,2,1,9,0,0.8,88.8,1.8,2,6.96
Reinildo ,29,0.48,0.527272727,0,0,1,0,1,1,22,0,1860,0,0,4,0,0.3,87.1,1.4,1,6.91
Yannick Carrasco ,29,0.5,0.527272727,1,0,1,0,1,1,26,9,2330,7,3,2,0,1.9,84.8,0.1,0,6.85
Alvaro Morata ,30,0.68,0.727272727,1,0,1,1,0,0,23,13,1906,13,2,4,0,2,64.5,1.6,2,6.85
